WTeam,LTeam,WLoc
Boston Celtics,Philadelphia 76ers,H
Golden State Warriors,Oklahoma City Thunder,H
Milwaukee Bucks,Charlotte Hornets,V
Detroit Pistons,Brooklyn Nets,H
Indiana Pacers,Memphis Grizzlies,H
Orlando Magic,Miami Heat,H
New York Knicks,Atlanta Hawks,H
Toronto Raptors,Cleveland Cavaliers,H
New Orleans Pelicans,Houston Rockets,V
San Antonio Spurs,Minnesota Timberwolves,H
Utah Jazz,Sacramento Kings,V
Denver Nuggets,Los Angeles Clippers,V
Phoenix Suns,Dallas Mavericks,H
Philadelphia 76ers,Chicago Bulls,H
Miami Heat,Washington Wizards,V
Portland Trail Blazers,Los Angeles Lakers,H
Charlotte Hornets,Orlando Magic,V
Brooklyn Nets,New York Knicks,H
Memphis Grizzlies,Atlanta Hawks,H
Minnesota Timberwolves,Cleveland Cavaliers,H
New Orleans Pelicans,Sacramento Kings,H
Toronto Raptors,Boston Celtics,H
Milwaukee Bucks,Indiana Pacers,H
Los Angeles Clippers,Oklahoma City Thunder,H
Golden State Warriors,Utah Jazz,V
Indiana Pacers,Brooklyn Nets,H
Toronto Raptors,Washington Wizards,V
Boston Celtics,New York Knicks,V
Philadelphia 76ers,Orlando Magic,H
Detroit Pistons,Chicago Bulls,V
Charlotte Hornets,Miami Heat,V
Dallas Mavericks,Minnesota Timberwolves,H
Denver Nuggets,Phoenix Suns,H
Portland Trail Blazers,San Antonio Spurs,H
Houston Rockets,Los Angeles Lakers,V
Atlanta Hawks,Cleveland Cavaliers,V
Sacramento Kings,Oklahoma City Thunder,V
Denver Nuggets,Golden State Warriors,H
Los Angeles Clippers,Houston Rockets,H
Orlando Magic,Boston Celtics,V
Toronto Raptors,Charlotte Hornets,H
Milwaukee Bucks,New York Knicks,H
Minnesota Timberwolves,Indiana Pacers,H
Dallas Mavericks,Chicago Bulls,H
Memphis Grizzlies,Utah Jazz,V
Washington Wizards,Portland Trail Blazers,V
Golden State Warriors,Phoenix Suns,H
San Antonio Spurs,Los Angeles Lakers,V
Detroit Pistons,Philadelphia 76ers,H
New Orleans Pelicans,Los Angeles Clippers,H
Denver Nuggets,Sacramento Kings,H
Atlanta Hawks,Dallas Mavericks,H
Brooklyn Nets,Cleveland Cavaliers,V
Miami Heat,New York Knicks,H
Toronto Raptors,Minnesota Timberwolves,H
Chicago Bulls,Charlotte Hornets,H
Utah Jazz,Houston Rockets,V
Indiana Pacers,San Antonio Spurs,V
Milwaukee Bucks,Philadelphia 76ers,H
Los Angeles Lakers,Phoenix Suns,V
Sacramento Kings,Memphis Grizzlies,H
Golden State Warriors,Washington Wizards,H
Detroit Pistons,Cleveland Cavaliers,H
Portland Trail Blazers,Orlando Magic,V
Boston Celtics,Oklahoma City Thunder,V
Los Angeles Lakers,Denver Nuggets,H
Charlotte Hornets,Chicago Bulls,H
Golden State Warriors,New York Knicks,V
Toronto Raptors,Dallas Mavericks,H
Los Angeles Clippers,Houston Rockets,V
Milwaukee Bucks,Minnesota Timberwolves,V
New Orleans Pelicans,Brooklyn Nets,H
Sacramento Kings,Washington Wizards,H
Boston Celtics,Detroit Pistons,V
Utah Jazz,New Orleans Pelicans,V
Chicago Bulls,Atlanta Hawks,V
Indiana Pacers,Cleveland Cavaliers,V
Philadelphia 76ers,Charlotte Hornets,H
Memphis Grizzlies,Phoenix Suns,H
Miami Heat,Portland Trail Blazers,H
Milwaukee Bucks,Orlando Magic,H
San Antonio Spurs,Los Angeles Lakers,H
Golden State Warriors,Brooklyn Nets,V
Utah Jazz,Dallas Mavericks,V
Oklahoma City Thunder,Phoenix Suns,H
Los Angeles Clippers,Washington Wizards,H
Portland Trail Blazers,Indiana Pacers,V
Philadelphia 76ers,Atlanta Hawks,H
Sacramento Kings,Miami Heat,V
New York Knicks,Brooklyn Nets,H
Golden State Warriors,Chicago Bulls,V
Milwaukee Bucks,Toronto Raptors,H
Minnesota Timberwolves,Los Angeles Lakers,H
San Antonio Spurs,Dallas Mavericks,H
Denver Nuggets,New Orleans Pelicans,H
Charlotte Hornets,Miami Heat,H
Cleveland Cavaliers,Atlanta Hawks,H
Sacramento Kings,Orlando Magic,V
Boston Celtics,Detroit Pistons,H
Toronto Raptors,Philadelphia 76ers,H
Portland Trail Blazers,Houston Rockets,V
Memphis Grizzlies,Washington Wizards,H
Oklahoma City Thunder,Los Angeles Clippers,H
Brooklyn Nets,Detroit Pistons,H
Denver Nuggets,Chicago Bulls,V
Minnesota Timberwolves,Utah Jazz,H
Indiana Pacers,New York Knicks,V
Golden State Warriors,New Orleans Pelicans,H
Los Angeles Lakers,Dallas Mavericks,H
San Antonio Spurs,Phoenix Suns,V
Oklahoma City Thunder,Charlotte Hornets,V
Denver Nuggets,Cleveland Cavaliers,V
Philadelphia 76ers,Los Angeles Clippers,H
Sacramento Kings,Atlanta Hawks,V
Boston Celtics,Milwaukee Bucks,H
Portland Trail Blazers,New Orleans Pelicans,H
Los Angeles Clippers,Orlando Magic,V
Houston Rockets,Brooklyn Nets,V
Indiana Pacers,Chicago Bulls,V
Oklahoma City Thunder,Washington Wizards,V
New York Knicks,Dallas Mavericks,V
Memphis Grizzlies,Utah Jazz,V
Toronto Raptors,Phoenix Suns,V
Golden State Warriors,Minnesota Timberwolves,H
Philadelphia 76ers,Detroit Pistons,H
Charlotte Hornets,Cleveland Cavaliers,H
Indiana Pacers,Boston Celtics,H
Atlanta Hawks,Miami Heat,H
Houston Rockets,Chicago Bulls,V
San Antonio Spurs,New Orleans Pelicans,H
Denver Nuggets,Utah Jazz,H
Los Angeles Lakers,Portland Trail Blazers,V
Milwaukee Bucks,Sacramento Kings,H
Brooklyn Nets,Philadelphia 76ers,H
Washington Wizards,New York Knicks,H
Orlando Magic,San Antonio Spurs,V
Phoenix Suns,Memphis Grizzlies,H
Portland Trail Blazers,Minnesota Timberwolves,H
