Vteam,Hteam
New Orleans Pelicans,Toronto Raptors
Los Angeles Lakers,Los Angeles Clippers
Chicago Bulls,Charlotte Hornets
Detroit Pistons,Indiana Pacers
Cleveland Cavaliers,Orlando Magic
Minnesota Timberwolves,Brooklyn Nets
Memphis Grizzlies,Miami Heat
Boston Celtics,Philadelphia 76ers
Washington Wizards,Dallas Mavericks
New York Knicks,San Antonio Spurs
Oklahoma City Thunder,Utah Jazz
Sacramento Kings,Phoenix Suns
Denver Nuggets,Portland Trail Blazers
Atlanta Hawks,Detroit Pistons
Milwaukee Bucks,Houston Rockets
Los Angeles Clippers,Golden State Warriors
Toronto Raptors,Boston Celtics
Minnesota Timberwolves,Charlotte Hornets
New York Knicks,Brooklyn Nets
Chicago Bulls,Memphis Grizzlies
Dallas Mavericks,New Orleans Pelicans
Washington Wizards,Oklahoma City Thunder
Phoenix Suns,Denver Nuggets
Portland Trail Blazers,Sacramento Kings
Utah Jazz,Los Angeles Lakers
Miami Heat,Milwaukee Bucks
Philadelphia 76ers,Detroit Pistons
Orlando Magic,Atlanta Hawks
Boston Celtics,New York Knicks
Toronto Raptors,Chicago Bulls
Indiana Pacers,Cleveland Cavaliers
New Orleans Pelicans,Houston Rockets
Washington Wizards,San Antonio Spurs
Sacramento Kings,Utah Jazz
Los Angeles Clippers,Phoenix Suns
Golden State Warriors,Oklahoma City Thunder
Brooklyn Nets,Memphis Grizzlies
Portland Trail Blazers,Dallas Mavericks
Miami Heat,Minnesota Timberwolves
Charlotte Hornets,Los Angeles Lakers
Chicago Bulls,New York Knicks
Indiana Pacers,Detroit Pistons
Orlando Magic,Toronto Raptors
Philadelphia 76ers,Atlanta Hawks
Oklahoma City Thunder,Houston Rockets
Cleveland Cavaliers,Milwaukee Bucks
Golden State Warriors,New Orleans Pelicans
Portland Trail Blazers,San Antonio Spurs
Utah Jazz,Phoenix Suns
Denver Nuggets,Sacramento Kings
Charlotte Hornets,Los Angeles Clippers
Atlanta Hawks,Miami Heat
Dallas Mavericks,Denver Nuggets
Memphis Grizzlies,Los Angeles Lakers
Chicago Bulls,Cleveland Cavaliers
New York Knicks,Orlando Magic
Minnesota Timberwolves,Philadelphia 76ers
Milwaukee Bucks,Boston Celtics
Indiana Pacers,Brooklyn Nets
Detroit Pistons,Toronto Raptors
Portland Trail Blazers,Oklahoma City Thunder
Houston Rockets,Washington Wizards
Charlotte Hornets,Sacramento Kings
Los Angeles Clippers,Utah Jazz
Phoenix Suns,Golden State Warriors
Miami Heat,Atlanta Hawks
Denver Nuggets,New Orleans Pelicans
San Antonio Spurs,Los Angeles Clippers
Houston Rockets,Brooklyn Nets
Cleveland Cavaliers,Indiana Pacers
Milwaukee Bucks,Orlando Magic
New York Knicks,Boston Celtics
Detroit Pistons,Chicago Bulls
Los Angeles Lakers,Dallas Mavericks
Utah Jazz,Sacramento Kings
San Antonio Spurs,Golden State Warriors
New Orleans Pelicans,Oklahoma City Thunder
Brooklyn Nets,Detroit Pistons
Denver Nuggets,Orlando Magic
Phoenix Suns,Memphis Grizzlies
Toronto Raptors,Milwaukee Bucks
Minnesota Timberwolves,Washington Wizards
Charlotte Hornets,Golden State Warriors
Philadelphia 76ers,Portland Trail Blazers
Chicago Bulls,Indiana Pacers
Houston Rockets,Miami Heat
Sacramento Kings,New York Knicks
Los Angeles Lakers,San Antonio Spurs
Dallas Mavericks,Cleveland Cavaliers
Utah Jazz,Los Angeles Clippers
Detroit Pistons,Washington Wizards
New Orleans Pelicans,Brooklyn Nets
Houston Rockets,Memphis Grizzlies
Milwaukee Bucks,Minnesota Timberwolves
Philadelphia 76ers,Phoenix Suns
Portland Trail Blazers,Golden State Warriors
Indiana Pacers,Charlotte Hornets
Boston Celtics,Cleveland Cavaliers
San Antonio Spurs,Atlanta Hawks
Los Angeles Lakers,Chicago Bulls
Orlando Magic,Oklahoma City Thunder
Miami Heat,Denver Nuggets
New York Knicks,Detroit Pistons
Washington Wizards,Indiana Pacers
Chicago Bulls,Atlanta Hawks
Golden State Warriors,Houston Rockets
Sacramento Kings,Toronto Raptors
Minnesota Timberwolves,Memphis Grizzlies
Orlando Magic,Dallas Mavericks
Philadelphia 76ers,Utah Jazz
Milwaukee Bucks,Los Angeles Clippers
Boston Celtics,Charlotte Hornets
Oklahoma City Thunder,San Antonio Spurs
Miami Heat,Phoenix Suns
Portland Trail Blazers,Los Angeles Clippers
Detroit Pistons,Indiana Pacers
Memphis Grizzlies,Orlando Magic
Cleveland Cavaliers,Washington Wizards
Sacramento Kings,Atlanta Hawks
Golden State Warriors,Minnesota Timberwolves
Toronto Raptors,New Orleans Pelicans
New York Knicks,Dallas Mavericks
Philadelphia 76ers,Denver Nuggets
Milwaukee Bucks,Utah Jazz
Brooklyn Nets,Portland Trail Blazers
Miami Heat,Los Angeles Lakers
Boston Celtics,San Antonio Spurs
New Orleans Pelicans,Charlotte Hornets
Houston Rockets,Chicago Bulls
Dallas Mavericks,Memphis Grizzlies
Golden State Warriors,Oklahoma City Thunder
Denver Nuggets,Minnesota Timberwolves
Indiana Pacers,Orlando Magic
Charlotte Hornets,Philadelphia 76ers
Milwaukee Bucks,Oklahoma City Thunder
Cleveland Cavaliers,New York Knicks
Brooklyn Nets,Phoenix Suns
Atlanta Hawks,Portland Trail Blazers
Toronto Raptors,Los Angeles Lakers
Minnesota Timberwolves,Detroit Pistons
Dallas Mavericks,Boston Celtics
Memphis Grizzlies,San Antonio Spurs
Houston Rockets,New Orleans Pelicans
Utah Jazz,Golden State Warriors
Toronto Raptors,Los Angeles Clippers
